HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m)    ,Bulk EC(TC) (dS/m)    ,Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG100001,271890,4/5/23 16:27,Lab on Friday,45.568465,-122.535544,0.612,61.2,21.5,70.7,3.95,4.14,6.59,3.4,52.712,ERROR,0,sol 6,Default,,,,,,
HG100001,271890,4/5/23 16:27,Lab on Friday,45.568576,-122.535682,0.767,76.7,21.3,70.3,3.86,4.06,4.43,3.4,75.344,ERROR,0,solution 6,Default,,,,,,
HG100001,271890,4/7/23 14:15,Lab on Friday,45.568387,-122.535956,0.785,78.5,19.9,67.8,0.89,0.95,1,3.4,78.243,31.96,0.41,sol 1,Default,,,,,,
HG100001,271890,4/7/23 14:16,Lab on Friday,45.568349,-122.535685,0.686,68.6,20.3,68.5,3.9,4.18,5.51,3.4,62.976,ERROR,0,sol 6,Default,,,,,,
HG100001,271890,4/7/23 14:16,Lab on Friday,45.568424,-122.535642,0.803,80.3,20.5,68.9,0.14,0.15,0.15,3.4,81.1,5.056,0.06,sol 5,Default,,,,,,
HG100001,271890,4/7/23 14:17,Lab on Friday,45.568428,-122.535642,0.768,76.8,20.7,69.2,1.61,1.72,1.88,3.4,75.406,58.091,0.77,sol2,Default,,,,,,
HG100001,271890,4/7/23 14:17,Lab on Friday,45.568405,-122.535629,0.822,82.2,20.7,69.2,3.87,4.13,4,3.4,84.392,ERROR,0,sol 7,Default,,,,,,
HG100001,271890,4/7/23 14:18,Lab on Friday,45.568387,-122.535956,0,0,20.9,69.6,0.01,0.01,0,3.4,2.63,0.238,0.09,sol 11,Default,,,,,,
HG100001,271890,4/7/23 14:19,Lab on Friday,45.568311,-122.535539,0.397,39.7,21.3,70.3,0.06,0.07,0.22,3.4,27.952,2.297,0.08,sol 10,Default,,,,,,
HG100001,271890,4/7/23 14:19,Lab on Friday,45.568321,-122.535599,0.795,79.5,21.3,70.3,0.62,0.65,0.67,3.4,79.883,22.255,0.28,vat 1,Default,,,,,,
HG100001,271890,4/7/23 14:20,Lab on Friday,45.568326,-122.535596,0.833,83.3,21.3,70.3,3.89,4.1,3.89,3.4,86.157,ERROR,0,vat 2,Default,,,,,,
HG100001,271890,4/11/23 13:54,Lab on Friday,45.568396,-122.535778,0,0,22.4,72.3,0.01,0.01,0,3.4,2.523,0.281,0.11,sol 11,Default,,,,,,
