ch_sample,sol_number,Ref_EC,Date,Volumetric,Ka_trace,Zero_Time,t_s,t_f,t_dif,int_time,Probee_index,Probe_type,Probe_L,L,Ka,v0,v1a,v1,sf,v3,vf,vr,EC_Dalton,ECtopp,
[2535],"27    Sol 7
Name: S",0.437,2    4/11/23,-1,81.2,20105,4100,10161,6.06E-09,20,1,BUR,20,0.2,82.54104873,3787,2131,3590,1.053383459,2135,2359,224,0.271805948,0.39796754,
[2534],"27    Vat 2
Name: S",0.424,2    4/11/23,-1,81.2,20105,4100,10233,6.13E-09,20,1,BUR,20,0.2,84.51374445,3787,2135,3587,1.068421053,2139,2363,224,0.275263131,0.408242099,
[2531],"27    Sol 2
Name: S",0.1552,2    4/11/23,100,81.2,20105,4100,10107,6.01E-09,20,1,BUR,20,0.2,81.07681477,3490,2174,3287,7.906015038,2182,2699,517,0.172050586,0.170655824,
[2533],"27    Sol 6
Name: S",0.414,2    4/11/23,-1,81.2,20105,4100,10017,5.92E-09,20,1,BUR,20,0.2,78.6655445,3779,2138,3578,1.071428571,2150,2371,221,0.267759151,0.383635714,
[2530],"27    Sol 1
Name: S",0.0796,2    4/11/23,100,81.8,20105,4100,10129,6.03E-09,20,1,BUR,20,0.2,81.67177272,3167,2074,2967,15.35864662,2099,3039,940,0.096336879,0.065223072,
[2528],"27    Sol 10
Name: S",0.007,2    4/11/23,39.8,26,20105,4100,7502,3.40E-09,20,1,BUR,20,0.2,26.00459133,1947,1727,1727,31.60902256,1791,4034,2243,0,0.014989949,
[2529],"27    Vat 1
Name: S",0.0511,2    4/11/23,100,81.8,20105,4100,10131,6.03E-09,20,1,BUR,20,0.2,81.72596766,2918,1934,2710,19.87819549,1967,3251,1284,0.051166776,0.029245295,
[2527],"27    Sol 11
Name: S",0,2    4/11/23,2.6,2.5,20105,4080,5129,1.05E-09,20,1,BUR,20,0.2,2.472477744,1747,1551,1551,35.92180451,2470,4095,1625,0.00873653,0.013169432,
[2525],"27    Sol 5
Name: S",0.00735,2    4/11/23,100,81.5,20105,4100,10119,6.02E-09,20,1,BUR,20,0.2,81.40106766,2046,1250,1823,28.61428571,1306,3598,2292,0,0.022403926,
[2521],"27    Vat 2
Name: S",0.424,2    4/11/23,100,54.3,20945,4100,9014,4.91E-09,20,2,BCT,20,0.2,54.25649302,1711,463,1459,5.463909774,498,2274,1776,0,,
[2522],"27    Sol 7
Name: S",0.437,2    4/11/23,100,52.5,20945,4100,8932,4.83E-09,20,2,BCT,20,0.2,52.46084309,1707,462,1455,5.216541353,475,2270,1795,0,,
